AvgTemp,LocMoranI,p_value,Z_score,LISA_Clust
76.79163,3.1039477144201495,0.002,2.6123340683570917,Coldspot(Low-Low)
80.707283,-0.0011102571953284883,0.472,0.04288336003827569,Non-sig
79.280435,0.003414757893216614,0.496,-0.0013929062143244603,Non-sig
80.034837,0.006512559124072027,0.458,0.051119672262187846,Non-sig
81.451902,2.0383256661542664,0.001,3.815901095947827,Hotspot (High-High)
80.014457,0.1422874871000429,0.124,1.1888850328097926,Non-sig
80.827065,-0.07521220225661002,0.465,-0.12208584187564693,Non-sig
79.941722,0.180243841849964,0.022,2.0050491107128896,Hotspot (High-High)
79.061522,-0.17482701978796536,0.092,-1.3570682958302742,Non-sig
80.772314,0.4113095754630994,0.078,1.3999253311920943,Non-sig
77.261304,1.774738353376574,0.003,2.6487009027667936,Coldspot(Low-Low)
80.198571,0.06637434412614313,0.373,0.3082499277641041,Non-sig
77.162935,1.7363686866127697,0.152,0.9909115422410795,Non-sig
80.447065,0.0673097007664395,0.406,0.2377339558182967,Non-sig
79.205714,0.09869949525004822,0.228,0.7590524814999656,Non-sig
80.545543,0.7687258851570324,0.004,2.7705109190716506,Hotspot (High-High)
81.163371,1.6292380536399187,0.003,2.8441880821250245,Hotspot (High-High)
77.358261,1.9477575668952063,0.003,2.7405672989671395,Coldspot(Low-Low)
77.782796,0.5204140798474041,0.177,1.0106709452342115,Non-sig
81.271304,0.9970028117969902,0.018,2.070883422145203,Hotspot (High-High)
76.803804,3.0084483916167977,0.001,3.5078958634839,Coldspot(Low-Low)
80.428315,0.2779914575578917,0.129,1.1554881792324987,Non-sig
79.324022,-0.14362518272587005,0.052,-1.632998767780803,Non-sig
79.646522,0.006545939648704925,0.334,0.4770211384253056,Non-sig
79.740163,0.04097680076793704,0.183,0.9440776941641009,Non-sig
79.930797,0.09203550465097945,0.185,0.9321609725522866,Non-sig
79.696304,0.0038836825788038324,0.463,0.04047606865987423,Non-sig
81.636333,2.863007472216177,0.001,4.014643376663915,Hotspot (High-High)
82.787935,4.125808596895029,0.001,3.1498490044662675,Hotspot (High-High)
81.21913,0.18038984778746478,0.364,0.31729828494477585,Non-sig
78.526957,0.5603169354468385,0.03,1.8250188980003952,Coldspot(Low-Low)
79.0375,0.2547686455887659,0.047,1.5800548003997803,Coldspot(Low-Low)
82.622935,4.350578275875711,0.001,4.106965997263772,Hotspot (High-High)
81.607065,1.5531473088303231,0.019,2.1538643225012097,Hotspot (High-High)
79.758913,0.003662674404141015,0.469,0.08853337982375002,Non-sig
78.622935,0.2428578262649222,0.227,0.7573378669343604,Non-sig
81.028913,0.06344391513445925,0.409,0.16016118162577275,Non-sig
81.536703,2.015217159901328,0.001,3.9035039679815164,Hotspot (High-High)
79.108043,0.2819240887911805,0.049,1.6455012469938417,Coldspot(Low-Low)
78.225815,0.38504753318452895,0.169,0.9235946936825068,Non-sig
78.87663,0.12775786091307337,0.258,0.6517862351070814,Non-sig
80.036141,-0.006166259276163977,0.471,-0.04916406743635226,Non-sig
80.999565,0.6019533471988301,0.182,0.956520353010852,Non-sig
80.229603,0.019072217977111915,0.461,0.0773484120662054,Non-sig
80.316087,-0.21875701492758323,0.246,-0.728323648357077,Non-sig
78.4425,0.5762916180942625,0.044,1.7312557537088609,Coldspot(Low-Low)
79.440761,-0.05416386775911122,0.098,-1.2912864178073322,Non-sig
78.694477,-0.500004394498792,0.074,-1.4545035087178548,Non-sig
79.296413,0.2936587894069208,0.002,3.003577054045478,Coldspot(Low-Low)
79.759022,0.018268973595676193,0.4,0.2525537174301175,Non-sig
78.651576,0.6149196454357317,0.014,2.2365084327155045,Coldspot(Low-Low)
79.12163,0.11576794042709211,0.201,0.8696220345711176,Non-sig
77.884783,1.4900906791039359,0.014,2.0911179091908703,Coldspot(Low-Low)
78.766522,0.40293870359949846,0.036,1.8040364849363564,Coldspot(Low-Low)
79.82788,0.03754057073070519,0.306,0.49915311031250426,Non-sig
78.469076,0.5207707568997042,0.055,1.5979434230586373,Non-sig
78.109538,0.5165503813718488,0.128,1.1238418648476791,Non-sig
77.593913,2.802447397953903,0.002,2.7674772302030735,Coldspot(Low-Low)
79.08663,0.20794988905312914,0.099,1.2840559975904848,Non-sig
79.40788,0.06292033701050528,0.144,1.067736164517725,Non-sig
78.716033,0.33657534076159945,0.08,1.4514981063832715,Non-sig
78.881297,0.02911118902924641,0.429,0.2138585407431853,Non-sig
79.813478,-0.026662309705599595,0.322,-0.4523974971260761,Non-sig
78.728913,0.13723592246913294,0.282,0.5990287020948767,Non-sig
80.848043,0.7201706613011678,0.058,1.5399767902685173,Non-sig
78.575992,0.5610231440211813,0.031,1.9429457784810964,Coldspot(Low-Low)
78.606196,0.2574040603719823,0.231,0.7742800449527614,Non-sig
78.757826,0.792472193215552,0.001,2.9336777824283966,Coldspot(Low-Low)
80.954022,0.786766025612116,0.026,1.9568816752829596,Hotspot (High-High)
78.312319,0.709970883856193,0.138,1.1139052188511398,Non-sig
82.688455,3.2423963429097156,0.003,3.0096847787859065,Hotspot (High-High)
79.856196,-0.16632604818468355,0.009,-2.3444697114357096,outlier(High-Low)
79.071739,0.2636355898347942,0.036,1.7980417980465453,Coldspot(Low-Low)
78.154239,0.7914471097852422,0.056,1.5682703840497763,Non-sig
81.247174,1.3479152009684394,0.012,2.2527407023244654,Hotspot (High-High)
79.57788,-0.006424437321141902,0.124,-1.1866984253956812,Non-sig
80.225942,0.14366801168637724,0.27,0.6570220630166945,Non-sig
